Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,83.286,-108.442,0,top
C10,100uF 6.3V,CP_EIA-3528-15_AVX-H,145.3,-49.6,0,top
C11,0.1uF,C_0805_2012Metric,63.662,-117.84,180,top
C12,22nF,C_0805_2012Metric,156.125,-83.325,180,top
C13,22nF,C_0805_2012Metric,156.15,-81.15,180,top
C14,100uF 6.3V,CP_EIA-3528-15_AVX-H,152.285,-49.5,0,top
C15,10nF,C_0805_2012Metric,76.108,-115.808,0,top
C16,10uF,C_0805_2012Metric,152.7,-77.3,-90,top
C17,1uF,C_0805_2012Metric,236.636,-83.296,0,top
C18,1uF,C_0805_2012Metric,173.0325,-85.82,0,top
C19,1uF,C_0805_2012Metric,235.45,-95.65,180,top
C2,1uF,C_0805_2012Metric,58.722,-108.518,0,top
C20,1uF,C_0805_2012Metric,235.2,-108,180,top
C21,1nF,C_0805_2012Metric,147.482,-65.77,0,top
C22,10nF,C_0805_2012Metric,80.275,-143.275,180,top
C23,10nF,C_0805_2012Metric,106.65,-150.45,0,top
C24,10nF,C_0805_2012Metric,218.0625,-142.05,0,top
C25,10nF,C_0805_2012Metric,80.2,-151.15,180,top
C26,1uF,C_0805_2012Metric,163.992,-75.676,-90,top
C27,10nF,C_0805_2012Metric,131.5,-148.75,180,top
C28,22nF,C_0805_2012Metric,151.825,-71.5,0,top
C29,22nF,C_0805_2012Metric,151.825,-69.225,0,top
C3,22nF,C_0805_2012Metric,160.025,-89.8,0,top
C30,1nF,C_0805_2012Metric,136.1,-67.05,0,top
C31,1nF,C_0805_2012Metric,91.85,-152.5,0,top
C32,1nF,C_0805_2012Metric,136.575,-151.775,0,top
C33,10uF,C_0805_2012Metric,157.7,-70.075,0,top
C34,0.1uF,C_0805_2012Metric,100.09,-115.554,0,top
C35,1uF,C_0805_2012Metric,219.25,-123.225,180,top
C36,1uF,C_0805_2012Metric,201.525,-122.975,180,top
C37,10nF,C_0805_2012Metric,211.7125,-145.75,0,top
C38,0.1uF,C_0805_2012Metric,181.375,-70.2,0,top
C39,0.1uF,C_0805_2012Metric,152.6,-94.075,0,top
C4,1uF,C_0805_2012Metric,219.05,-95.6,180,top
C40,0.1uF,C_0805_2012Metric,169.05,-98.475,0,top
C41,27pF,C_0805_2012Metric,144.625,-100.85,180,top
C42,0.1uF,C_0805_2012Metric,163.825,-116.316,180,top
C43,0.1uF,C_0805_2012Metric,152.4,-115.35,180,top
C44,1uF 25V,C_0805_2012Metric,201.95,-96.15,0,top
C45,27pF,C_0805_2012Metric,139.3,-100.85,0,top
C46,0.1uF,C_0805_2012Metric,147.375,-102.975,180,top
C47,0.1uF,C_0805_2012Metric,149.65,-133.6,180,top
C48,0.1uF,C_0805_2012Metric,138.65,-108.325,0,top
C49,0.1uF,C_0805_2012Metric,147.125,-108.3,0,top
C5,1uF,C_0805_2012Metric,219.025,-108.075,180,top
C50,0.1uF,C_0805_2012Metric,144.625,-97.375,180,top
C51,470uF 25V,CP_Elec_10x10,139.55,-83.925,180,top
C52,1uF,C_0805_2012Metric,109.85,-87.15,180,top
C53,0.1uF,C_0805_2012Metric,147.1,-110.5,180,top
C54,1uF,C_0805_2012Metric,146.95,-115,0,top
C55,0.1uF,C_0805_2012Metric,160.2,-133.625,180,top
C56,1uF,C_0805_2012Metric,129.1,-78.05,0,top
C57,100uF 6.3V,CP_EIA-3528-15_AVX-H,129.7,-82.8,0,top
C58,10uF,C_0805_2012Metric,126.475,-113.65,0,top
C59,100uF 6.3V,CP_EIA-3528-15_AVX-H,129.675,-87.65,0,top
C6,1uF,C_0805_2012Metric,201.475,-107.85,180,top
C60,100uF 6.3V,CP_EIA-3528-15_AVX-H,126.638,-107.426,0,top
C61,1nF,C_0805_2012Metric,111.275,-92.025,180,top
C62,100uF 6.3V,CP_EIA-3528-15_AVX-H,110.75,-96.3,180,top
C63,0.1uF,C_0805_2012Metric,84.05,-92.025,0,top
C64,1N5,C_0805_2012Metric,58.825,-87.05,0,top
C65,100uF 6.3V,CP_EIA-3528-15_AVX-H,110.725,-101.2,180,top
C66,0.1uF,C_0805_2012Metric,65.025,-82.175,0,top
C67,330Pf,C_0805_2012Metric,58.8,-91.4,0,top
C68,150pF,C_0805_2012Metric,58.85,-96.05,0,top
C69,0.1uF,C_0805_2012Metric,69.325,-91.75,0,top
C7,1uF,C_0805_2012Metric,235.425,-122.775,180,top
C8,22nF,C_0805_2012Metric,160.025,-85.6,180,top
C9,1uF,C_0805_2012Metric,131.16,-139.90375,0,top
CONN6,FH12-50S-0.5SVA_54_,FH1250S05SVA54,147.5,-56.5,0,top
D1,SMAJ5.0A,DIOM5127X229N,218,-100.1,180,top
D10,SMAJ18CA,DIONM5127X229N,200.225,-87.75,180,top
D11,SS54B,DIOM5336X244N,143.25,-66.35,90,top
D12,SMAJ18CA,DIONM5127X229N,136.3,-76.625,180,top
D14,SS54B,DIOM5336X244N,116.475,-73.525,0,top
D15,SMAJ5.0A,DIOM5127X229N,117.51,-117.078,180,top
D16,SMAJ7.0A,DIOM5026X229N,110.225,-106.55,180,top
D17,ESDCAN01-2BLY,SOT95P255X150-3N,165.8,-62.425,0,top
D2,SMAJ5.0A,DIOM5127X229N,200.35,-100.025,180,top
D3,SMAJ5.0A,DIOM5127X229N,217.975,-87.7,180,top
D4,SMAJ5.0A,DIOM5127X229N,234.35,-114.8,180,top
D5,SMAJ5.0A,DIOM5127X229N,235.425,-71.7,180,top
D6,SMAJ5.0A,DIOM5127X229N,234.325,-87.675,180,top
